@relation house

@attribute houseSize numeric
@attribute lotSize numeric
@attribute bedrooms numeric
@attribute granite numeric
@attribute bathrooms numeric
@attribute sellingPrice numeric

@data
5000,20000,6,1,3,550000
4500,19500,5,0,2,450000
2300,18900,5,0,2,380000
5600,21000,6,0,3,500000
4500,18700,4,0,2,480000
4090,19750,4,1,1,440000
5085,19250,4,1,2,510000
4350,19940,3,0,2,495000
4650,18450,3,0,2,390000
3890,20100,5,0,3,410000
5120,19890,5,0,4,425000
4770,18700,4,0,2,470000
4150,19600,5,1,3,427000
4880,20050,7,1,4,489000
4010,19960,6,0,3,478000
